"001002","ALABAMA AGRICULTURAL & MECHANICAL UNIVERSITY","4900 MERIDIAN STREET","NORMAL","AL","ALABAMA","35762","1357","8","1","2010.0","232.0","1405.0","16.5","A","2009.0","217.0","1514.0","14.3","A","231.0","1402.0","1.0","6.0","2","D","05","04","0.0"
"001003","FAULKNER UNIVERSITY","5345 ATLANTA HIGHWAY","MONTGOMERY","AL","ALABAMA","36109","3398","8","2","2010.0","188.0","1296.0","14.5","A","2009.0","192.0","1166.0","16.4","A","188.0","1295.0","0.0","1.0","5","D","02","04","0.0"
"001004","UNIVERSITY OF MONTEVALLO","PALMER CIRCLE","MONTEVALLO","AL","ALABAMA","35115","6000","8","1","2010.0","70.0","613.0","11.4","A","2009.0","83.0","578.0","14.3","A","68.0","603.0","2.0","14.0","5","D","06","04","0.0"
"001005","ALABAMA STATE UNIVERSITY","915 SOUTH JACKSON STREET","MONTGOMERY","AL","ALABAMA","36104","5714","8","1","2010.0","372.0","1951.0","19.0","P","2009.0","430.0","2045.0","21.0","P","372.0","1951.0","372.0","1951.0","2","D","03","04","0.0"
"001007","CENTRAL ALABAMA COMMUNITY COLLEGE","1675 CHEROKEE ROAD","ALEXANDER CITY","AL","ALABAMA","35010","0000","5","1","2010.0","112.0","432.0","25.9","P","2009.0","132.0","430.0","30.6","P","112.0","432.0","112.0","432.0","5","D","03","04","0.0"
"001008","ATHENS STATE UNIVERSITY","300 NORTH BEATY STREET","ATHENS","AL","ALABAMA","35611","1999","6","1","2010.0","63.0","802.0","7.8","A","2009.0","48.0","744.0","6.4","A","0.0","0.0","63.0","802.0","5","D","05","04","0.0"
"001009","AUBURN UNIVERSITY","107 SAMFORD HALL","AUBURN","AL","ALABAMA","36849","5113","8","1","2010.0","211.0","3265.0","6.4","P","2009.0","206.0","3016.0","6.8","P","211.0","3265.0","211.0","3265.0","5","D","03","04","0.0"
"001012","BIRMINGHAM SOUTHERN COLLEGE","900 ARKADELPHIA ROAD","BIRMINGHAM","AL","ALABAMA","35254","0002","6","2","2010.0","20.0","219.0","9.1","A","2009.0","13.0","180.0","7.2","A","20.0","219.0","0.0","0.0","5","D","07","04","0.0"
"001013","CALHOUN COMMUNITY COLLEGE","HIGHWAY 31 NORTH","DECATUR","AL","ALABAMA","35609","2216","5","1","2010.0","332.0","1391.0","23.8","P","2009.0","239.0","1264.0","18.9","P","332.0","1391.0","332.0","1391.0","5","D","05","04","0.0"
"001015","ENTERPRISE STATE COMMUNITY COLLEGE","600 PLAZA DRIVE","ENTERPRISE","AL","ALABAMA","36331","1300","5","1","2010.0","91.0","335.0","27.1","A","2009.0","48.0","257.0","18.6","A","91.0","335.0","0.0","0.0","5","D","02","04","0.0"
"001016","UNIVERSITY OF NORTH ALABAMA","ONE HARRISON PLAZA","FLORENCE","AL","ALABAMA","35632","0001","8","1","2010.0","215.0","1293.0","16.6","A","2009.0","173.0","1232.0","14.0","A","215.0","1293.0","0.0","0.0","5","D","05","04","0.0"
"001017","GADSDEN STATE COMMUNITY COLLEGE","1001 GEORGE WALLACE DRIVE","GADSDEN","AL","ALABAMA","35903","2269","5","1","2010.0","1.0","5.0","20.0","P","2009.0","0.0","0.0","0.0","P","1.0","5.0","1.0","5.0","2","D","04","04","0.0"
"001018","GEORGE C. WALLACE COMMUNITY COLLEGE","1141 WALLACE DRIVE","DOTHAN","AL","ALABAMA","36303","0943","5","1","2010.0","0.0","0.0","0.0","P","2009.0","0.0","0.0","0.0","P","0.0","0.0","0.0","0.0","5","D","02","04","0.0"
